ID,DATE,DAY,TIME,NAME,ROOM,TYPE,KWH
97,24/08/2012,Fri,00:00,PC,2,lighting,0
98,24/08/2012,Fri,01:00,PC,2,lighting,0
99,24/08/2012,Fri,02:00,PC,2,lighting,0
100,24/08/2012,Fri,03:00,PC,2,lighting,0
101,24/08/2012,Fri,04:00,PC,2,lighting,0
102,24/08/2012,Fri,05:00,PC,2,lighting,0
103,24/08/2012,Fri,06:00,PC,2,lighting,0
104,24/08/2012,Fri,07:00,PC,2,lighting,0
105,24/08/2012,Fri,08:00,PC,2,lighting,0
106,24/08/2012,Fri,09:00,PC,2,lighting,0
107,24/08/2012,Fri,10:00,PC,2,lighting,0.0468
108,24/08/2012,Fri,11:00,PC,2,lighting,0
109,24/08/2012,Fri,12:00,PC,2,lighting,0
110,24/08/2012,Fri,13:00,PC,2,lighting,0
111,24/08/2012,Fri,14:00,PC,2,lighting,0
112,24/08/2012,Fri,15:00,PC,2,lighting,0
113,24/08/2012,Fri,16:00,PC,2,lighting,0
114,24/08/2012,Fri,17:00,PC,2,lighting,0
115,24/08/2012,Fri,18:00,PC,2,lighting,0
116,24/08/2012,Fri,19:00,PC,2,lighting,0
117,24/08/2012,Fri,20:00,PC,2,lighting,0
118,24/08/2012,Fri,21:00,PC,2,lighting,0
119,24/08/2012,Fri,22:00,PC,2,lighting,0
120,24/08/2012,Fri,23:00,PC,2,lighting,0
